gev-mu=70,alpha=10,gamma=0,N=e6.csv;n_subset=10000
10 & 0.010 & 0.074 & 0.039 & 0.496 & 0.046\\ 
15 & 0.009 & 0.093 & 0.042 & 0.269 & 0.067\\ 
20 & 0.009 & 0.053 & 0.035 & 0.188 & 0.041\\ 
30 & 0.010 & 0.043 & 0.043 & 0.151 & 0.042\\ 
50 & 0.010 & 0.025 & 0.031 & 0.069 & 0.028\\ 
100 & 0.010 & 0.014 & 0.013 & 0.029 & 0.013\\ 
gev-mu=70,alpha=10,gamma=0.1,N=e6.csv;n_subset=10000
10 & 0.010 & 0.072 & 0.627 & 0.431 & 0.046\\ 
15 & 0.009 & 0.096 & 0.044 & 0.258 & 0.068\\ 
20 & 0.009 & 0.054 & 0.036 & 0.172 & 0.039\\ 
30 & 0.010 & 0.044 & 0.043 & 0.133 & 0.042\\ 
50 & 0.010 & 0.024 & 0.031 & 0.061 & 0.027\\ 
100 & 0.010 & 0.015 & 0.013 & 0.027 & 0.014\\ 
gev-mu=70,alpha=10,gamma=0.2,N=e6.csv;n_subset=10000
10 & 0.010 & 0.067 & 0.029 & 0.420 & 0.046\\ 
15 & 0.009 & 0.101 & 0.579 & 0.253 & 0.070\\ 
20 & 0.009 & 0.055 & 0.037 & 0.158 & 0.038\\ 
30 & 0.010 & 0.045 & 0.043 & 0.114 & 0.043\\ 
50 & 0.010 & 0.025 & 0.032 & 0.054 & 0.027\\ 
100 & 0.010 & 0.016 & 0.014 & 0.027 & 0.014\\ 
gev-mu=70,alpha=10,gamma=0.3,N=e6.csv;n_subset=10000
10 & 0.010 & 0.063 & 0.026 & 0.456 & 0.047\\ 
15 & 0.009 & 0.106 & 0.053 & 0.251 & 0.072\\ 
20 & 0.009 & 0.058 & 0.038 & 0.152 & 0.037\\ 
30 & 0.010 & 0.046 & 0.042 & 0.103 & 0.044\\ 
50 & 0.010 & 0.028 & 0.032 & 0.050 & 0.026\\ 
100 & 0.010 & 0.018 & 0.014 & 0.027 & 0.015\\ 
gev-mu=70,alpha=10,gamma=0.4,N=e6.csv;n_subset=10000
